Date,Open,High,Low,Close,Adj Close,Volume
2018-10-23,0.269800,0.272100,0.268600,0.269800,0.269800,3260
2018-10-24,0.267750,0.271500,0.267000,0.267750,0.267750,3088
2018-10-25,0.271200,0.271500,0.267100,0.271200,0.271200,2967
2018-10-26,0.273300,0.274450,0.268300,0.273300,0.273300,4177
2018-10-28,null,null,null,null,null,null
2018-10-29,0.270250,0.280000,0.268700,0.270250,0.270250,5948
2018-10-30,0.269950,0.271850,0.267750,0.269950,0.269950,11894
2018-10-31,0.269000,0.271500,0.267850,0.269000,0.269000,6241
2018-11-01,0.270300,0.271050,0.268250,0.270300,0.270300,4872
2018-11-02,0.270500,0.271850,0.269500,0.270500,0.270500,3032
2018-11-04,null,null,null,null,null,null
2018-11-05,0.268350,0.270300,0.267200,0.268350,0.268350,535
2018-11-06,0.266200,0.268950,0.264800,0.266200,0.266200,2334
2018-11-07,0.266650,0.268100,0.263600,0.266650,0.266650,1760
2018-11-08,0.265400,0.268600,0.265300,0.265400,0.265400,4126
2018-11-09,0.266850,0.268000,0.264750,0.266850,0.266850,3321
2018-11-11,null,null,null,null,null,null
2018-11-12,0.266400,0.268450,0.264750,0.266400,0.266400,3508
2018-11-13,0.261850,0.266200,0.260700,0.261850,0.261850,2608
2018-11-14,0.263450,0.265100,0.261500,0.263450,0.263450,4085
2018-11-15,0.265200,0.266000,0.263250,0.265200,0.265200,3594
2018-11-16,0.266850,0.267750,0.264200,0.266850,0.266850,853
2018-11-18,null,null,null,null,null,null
2018-11-19,0.265450,0.267000,0.265000,0.265450,0.265450,1872
2018-11-20,0.264800,0.268000,0.264000,0.264800,0.264800,1519
2018-11-21,0.264150,0.265500,0.262950,0.264150,0.264150,166
2018-11-23,null,null,null,null,null,null
2018-11-25,null,null,null,null,null,null
2018-11-26,0.255800,0.266250,0.252950,0.255800,0.255800,2690
2018-11-27,0.256800,0.258950,0.254100,0.256800,0.256800,5996
2018-11-28,0.260050,0.260950,0.257250,0.260050,0.260050,8747
2018-11-29,0.259050,0.260800,0.258150,0.259050,0.259050,9311
2018-11-30,0.258850,0.260500,0.258250,0.258850,0.258850,3499
2018-12-02,null,null,null,null,null,null
2018-12-03,0.261300,0.261700,0.259000,0.261300,0.261300,3355
2018-12-04,0.259300,0.261600,0.256300,0.259300,0.259300,2476
2018-12-06,0.256750,0.257850,0.253400,0.256750,0.256750,2270
2018-12-07,0.257600,0.258850,0.254550,0.257600,0.257600,3182
2018-12-09,null,null,null,null,null,null
2018-12-10,0.254350,0.256750,0.253100,0.254350,0.254350,2548
2018-12-11,0.255350,0.256850,0.253050,0.255350,0.255350,3708
2018-12-12,0.259800,0.261000,0.255450,0.259800,0.259800,1815
2018-12-13,0.257400,0.260500,0.256350,0.257400,0.257400,3159
2018-12-14,0.256300,0.256900,0.254600,0.256300,0.256300,2480
2018-12-16,null,null,null,null,null,null
2018-12-17,0.256950,0.257650,0.254450,0.256950,0.256950,833
2018-12-18,0.256300,0.257250,0.254800,0.256300,0.256300,1295
2018-12-19,0.258050,0.258650,0.255300,0.258050,0.258050,1615
2018-12-20,0.259700,0.261300,0.255650,0.259700,0.259700,2676
2018-12-21,0.257000,0.260800,0.256300,0.257000,0.257000,3575
2018-12-23,null,null,null,null,null,null
2018-12-24,null,null,null,null,null,null
2018-12-26,0.255000,0.256750,0.253800,0.255000,0.255000,200
2018-12-27,0.256850,0.258350,0.253800,0.256850,0.256850,9536
2018-12-28,0.258100,0.259750,0.257000,0.258100,0.258100,4854
2018-12-30,null,null,null,null,null,null
2018-12-31,2.580880,2.580880,0.258080,0.258080,0.258080,353
2019-01-02,0.261600,0.263950,0.256300,0.261600,0.261600,32
